student_id,fee_type_id,amount,due_date,status,paid_on
2207036,FT03,22000,2026-01-01,Unpaid,
2202058,FT03,22000,2026-01-01,Unpaid,
2304027,FT03,22000,2026-01-01,Unpaid,
2203032,FT03,22000,2026-01-01,Unpaid,
2203056,FT03,22000,2026-01-01,Unpaid,
2203054,FT03,22000,2026-01-01,Unpaid,
2206026,FT03,22000,2026-01-01,Unpaid,
2206038,FT03,22000,2026-01-01,Unpaid,
2201035,FT03,22000,2026-01-01,Unpaid,
2208040,FT03,22000,2026-01-01,Unpaid,
2203041,FT03,22000,2026-01-01,Unpaid,
2211032,FT03,22000,2026-01-01,Unpaid,
2204051,FT03,22000,2026-01-01,Unpaid,
2203028,FT03,22000,2026-01-01,Unpaid,
2210037,FT03,22000,2026-01-01,Unpaid,
2202049,FT03,22000,2026-01-01,Unpaid,
2209057,FT03,22000,2026-01-01,Unpaid,
2212021,FT03,22000,2026-01-01,Unpaid,
2206027,FT03,22000,2026-01-01,Unpaid,
2211053,FT03,22000,2026-01-01,Unpaid,
2206040,FT03,22000,2026-01-01,Unpaid,
2204029,FT03,22000,2026-01-01,Unpaid,
2308033,FT03,22000,2026-01-01,Unpaid,
2206031,FT03,22000,2026-01-01,Unpaid,
2208029,FT03,22000,2026-01-01,Unpaid,
2207021,FT03,22000,2026-01-01,Unpaid,
2204059,FT03,22000,2026-01-01,Unpaid,
2208049,FT03,22000,2026-01-01,Unpaid,
2202060,FT03,22000,2026-01-01,Unpaid,
2201038,FT03,22000,2026-01-01,Unpaid,
2202050,FT03,22000,2026-01-01,Unpaid,
2210041,FT03,22000,2026-01-01,Unpaid,
2203031,FT03,22000,2026-01-01,Unpaid,
2203029,FT03,22000,2026-01-01,Unpaid,
2204034,FT03,22000,2026-01-01,Unpaid,
2201039,FT03,22000,2026-01-01,Unpaid,
2207055,FT03,22000,2026-01-01,Unpaid,
2204030,FT03,22000,2026-01-01,Unpaid,
2202043,FT03,22000,2026-01-01,Unpaid,
2302042,FT03,22000,2026-01-01,Unpaid,
2206036,FT03,22000,2026-01-01,Unpaid,
2207026,FT03,22000,2026-01-01,Unpaid,
2201026,FT03,22000,2026-01-01,Unpaid,
2501032,FT03,10000,2026-01-01,Unpaid,
2211043,FT03,22000,2026-01-01,Unpaid,
2206029,FT03,22000,2026-01-01,Unpaid,
2206041,FT03,22000,2026-01-01,Unpaid,
2306030,FT03,22000,2026-01-01,Unpaid,
2506024,FT03,22000,2026-01-01,Unpaid,
2206043,FT03,22000,2026-01-01,Unpaid,
2302028,FT03,10000,2026-01-01,Unpaid,
2202053,FT03,22000,2026-01-01,Unpaid,
2201031,FT03,22000,2026-01-01,Unpaid,
2304059,FT03,22000,2026-01-01,Unpaid,
2306022,FT03,22000,2026-01-01,Unpaid,
2204036,FT03,22000,2026-01-01,Unpaid,
2208031,FT03,22000,2026-01-01,Unpaid,
2303026,FT03,22000,2026-01-01,Unpaid,
2503025,FT03,22000,2026-01-01,Unpaid,
2201054,FT03,22000,2026-01-01,Unpaid,
2209060,FT03,22000,2026-01-01,Unpaid,
2202034,FT03,22000,2026-01-01,Unpaid,
2208054,FT03,22000,2026-01-01,Unpaid,
2309052,FT03,22000,2026-01-01,Unpaid,
2309037,FT03,22000,2026-01-01,Unpaid,
2201034,FT03,22000,2026-01-01,Unpaid,
2505055,FT03,22000,2026-01-01,Unpaid,
2312022,FT03,22000,2026-01-01,Unpaid,
2203036,FT03,22000,2026-01-01,Unpaid,
