student_id,hall_id,room_number,resident,assigned_on
2502053,1,1,true,2025-06-25T13:18:45.706Z
2508170,1,1,true,2025-06-25T13:18:45.708Z
2505132,1,1,true,2025-06-25T13:18:45.709Z
2503159,1,1,true,2025-06-25T13:18:45.710Z
2508129,1,1,true,2025-06-25T13:18:45.711Z
2510028,2,1,true,2025-06-25T13:18:45.711Z
2505066,2,1,true,2025-06-25T13:18:45.711Z
2501036,2,1,true,2025-06-25T13:18:45.713Z
2501091,2,1,true,2025-06-25T13:18:45.713Z
2506107,2,1,true,2025-06-25T13:18:45.714Z
2501168,3,1,true,2025-06-25T13:18:45.714Z
2503047,3,1,true,2025-06-25T13:18:45.714Z
2509082,3,1,true,2025-06-25T13:18:45.715Z
2508021,3,1,true,2025-06-25T13:18:45.715Z
2502105,3,1,true,2025-06-25T13:18:45.715Z
2510098,4,1,true,2025-06-25T13:18:45.715Z
2508179,4,1,true,2025-06-25T13:18:45.716Z
2510138,4,1,true,2025-06-25T13:18:45.716Z
2502139,4,1,true,2025-06-25T13:18:45.716Z
2511086,4,1,true,2025-06-25T13:18:45.716Z
2504071,6,1,true,2025-06-25T13:18:45.717Z
2503117,6,1,true,2025-06-25T13:18:45.717Z
2510122,6,1,true,2025-06-25T13:18:45.717Z
2504151,6,1,true,2025-06-25T13:18:45.717Z
2506169,6,1,true,2025-06-25T13:18:45.718Z
2501041,1,2,true,2025-06-25T13:18:45.718Z
2501098,1,2,true,2025-06-25T13:18:45.718Z
2509139,1,2,true,2025-06-25T13:18:45.718Z
2507117,1,2,true,2025-06-25T13:18:45.718Z
2505172,1,2,true,2025-06-25T13:18:45.719Z
2502038,2,2,true,2025-06-25T13:18:45.719Z
2503154,2,2,true,2025-06-25T13:18:45.719Z
2505173,2,2,true,2025-06-25T13:18:45.719Z
2503091,2,2,true,2025-06-25T13:18:45.720Z
2501133,2,2,true,2025-06-25T13:18:45.720Z
2508143,3,2,true,2025-06-25T13:18:45.720Z
2512136,3,2,true,2025-06-25T13:18:45.720Z
2501122,3,2,true,2025-06-25T13:18:45.720Z
2504070,3,2,true,2025-06-25T13:18:45.720Z
2512033,3,2,true,2025-06-25T13:18:45.720Z
2508090,4,,false,2025-06-25T13:18:45.721Z
2509073,4,2,true,2025-06-25T13:18:45.721Z
2508059,4,2,true,2025-06-25T13:18:45.721Z
2512003,4,2,true,2025-06-25T13:18:45.721Z
2505162,4,,false,2025-06-25T13:18:45.722Z
2509077,6,2,true,2025-06-25T13:18:45.722Z
2509081,6,2,true,2025-06-25T13:18:45.722Z
2505035,6,2,true,2025-06-25T13:18:45.722Z
2502044,6,2,true,2025-06-25T13:18:45.722Z
2507019,6,2,true,2025-06-25T13:18:45.723Z
2509045,1,3,true,2025-06-25T13:18:45.723Z
2508169,1,3,true,2025-06-25T13:18:45.723Z
2505095,1,3,true,2025-06-25T13:18:45.723Z
2504074,1,3,true,2025-06-25T13:18:45.723Z
2510134,1,3,true,2025-06-25T13:18:45.724Z
2508144,2,3,true,2025-06-25T13:18:45.724Z
2501072,2,3,true,2025-06-25T13:18:45.724Z
2502031,2,3,true,2025-06-25T13:18:45.724Z
2509149,2,,false,2025-06-25T13:18:45.724Z
2508028,2,3,true,2025-06-25T13:18:45.724Z
2510032,3,,false,2025-06-25T13:18:45.725Z
2507077,3,3,true,2025-06-25T13:18:45.725Z
2511133,3,3,true,2025-06-25T13:18:45.725Z
2506027,3,3,true,2025-06-25T13:18:45.725Z
2502065,3,3,true,2025-06-25T13:18:45.726Z
2508056,4,,false,2025-06-25T13:18:45.726Z
2511163,4,3,true,2025-06-25T13:18:45.726Z
2512125,4,3,true,2025-06-25T13:18:45.726Z
2507125,4,3,true,2025-06-25T13:18:45.726Z
2512146,4,3,true,2025-06-25T13:18:45.727Z
2506028,6,3,true,2025-06-25T13:18:45.727Z
2508117,6,3,true,2025-06-25T13:18:45.727Z
2502112,6,3,true,2025-06-25T13:18:45.727Z
2503151,6,3,true,2025-06-25T13:18:45.728Z
2503113,6,,false,2025-06-25T13:18:45.728Z
